1,"[(1, 5, 1), (2, 3, 4), (3, 4, 2), (4, 3, 1), (5, 3, 4), (7, 4, 2), (8, 1, 1), (9, 5, 4), (11, 2, 2), (13, 5, 1), (15, 5, 4), (16, 5, 2), (18, 4, 2), (19, 5, 4), (21, 1, 1), (22, 4, 2), (25, 4, 2), (26, 3, 3), (28, 4, 1), (29, 1, 2), (30, 3, 2), (32, 5, 1), (34, 2, 3), (35, 1, 3), (37, 2, 3), (38, 3, 1), (40, 3, 4), (41, 2, 3), (42, 5, 4), (43, 4, 2), (45, 5, 1), (46, 4, 1), (48, 5, 4), (50, 5, 3), (52, 4, 2), (55, 5, 2), (57, 5, 3), (58, 4, 4), (59, 5, 1), (63, 2, 2), (66, 4, 1), (68, 4, 4), (71, 3, 4), (75, 4, 4), (77, 4, 2), (79, 4, 2), (83, 3, 3), (87, 5, 2), (88, 4, 1), (89, 5, 2), (93, 5, 2), (94, 2, 3), (95, 4, 1), (99, 3, 4), (101, 2, 1), (105, 2, 3), (106, 4, 3), (109, 5, 3), (110, 1, 2), (111, 5, 1), (115, 5, 4), (116, 3, 3), (119, 5, 1), (122, 3, 2), (123, 4, 3), (124, 5, 1), (126, 2, 2), (127, 5, 3), (131, 1, 2), (133, 4, 4), (135, 4, 3), (136, 3, 4), (137, 5, 1), (138, 1, 2), (139, 3, 4), (141, 3, 3), (142, 2, 1), (144, 4, 1), (146, 4, 2), (147, 3, 4), (149, 2, 1), (152, 5, 1), (153, 3, 4), (156, 4, 2), (158, 3, 1), (162, 4, 2), (165, 5, 3), (166, 5, 2), (167, 2, 1), (168, 5, 3), (169, 5, 3), (172, 5, 4), (173, 5, 4), (176, 5, 1), (178, 5, 3), (179, 3, 3), (181, 5, 1), (182, 4, 3), (187, 4, 2), (191, 5, 2), (192, 4, 2), (194, 4, 1), (195, 5, 4), (197, 5, 3), (198, 5, 4), (199, 4, 3), (203, 4, 3), (204, 5, 2), (205, 3, 2), (207, 5, 3), (211, 3, 2), (216, 5, 3), (217, 3, 2), (220, 3, 3), (223, 5, 3), (231, 1, 3), (234, 4, 3), (237, 2, 4), (238, 4, 1), (239, 4, 2), (240, 3, 1), (244, 2, 4), (245, 2, 3), (246, 5, 2), (247, 1, 2), (249, 4, 1), (251, 4, 3), (256, 4, 3), (257, 4, 1), (261, 1, 1), (263, 1, 2), (268, 5, 4), (269, 5, 3), (270, 5, 1), (271, 2, 1)]"
2,"[(1, 4, 1), (10, 2, 1), (14, 4, 2), (25, 4, 4), (100, 5, 3), (111, 4, 4), (127, 5, 4), (237, 4, 4), (242, 5, 1), (255, 4, 1), (258, 3, 2), (269, 4, 4), (272, 5, 1), (273, 4, 1), (274, 3, 2), (275, 5, 1), (276, 4, 4), (277, 4, 3), (278, 3, 1), (282, 4, 4), (283, 5, 3), (284, 4, 4), (285, 5, 4), (286, 4, 1), (287, 3, 2), (288, 3, 1), (289, 3, 1), (291, 3, 2), (293, 4, 1), (294, 1, 1), (295, 4, 2), (296, 3, 3), (300, 4, 1), (302, 5, 3), (304, 4, 1), (305, 3, 3), (306, 4, 3), (309, 1, 2), (310, 4, 4), (311, 5, 4)]"
3,"[(181, 4, 2), (258, 2, 4), (260, 4, 2), (268, 3, 1), (271, 3, 3), (288, 2, 4), (302, 2, 2), (303, 3, 4), (317, 2, 3), (319, 2, 3), (320, 5, 3), (321, 5, 3), (322, 3, 1), (325, 1, 3), (326, 2, 2), (329, 4, 2), (333, 2, 3), (336, 1, 4), (338, 2, 4), (339, 3, 4), (340, 5, 1), (342, 4, 4), (344, 4, 3), (346, 5, 2), (347, 5, 2), (352, 2, 2), (353, 1, 3), (355, 3, 1)]"
4,"[(11, 4, 2), (210, 3, 1), (258, 5, 1), (271, 4, 4), (300, 5, 2), (301, 5, 2), (324, 5, 3), (327, 5, 4), (328, 3, 2), (329, 5, 3), (358, 2, 4), (359, 5, 2), (360, 5, 3), (362, 5, 2)]"
5,"[(21, 3, 3), (25, 3, 4), (29, 4, 3), (50, 4, 1), (63, 1, 4), (66, 1, 1), (70, 4, 4), (95, 4, 3), (99, 3, 1), (101, 5, 4), (105, 3, 1), (121, 4, 3), (135, 4, 1), (145, 1, 3), (151, 3, 1), (162, 1, 4), (163, 5, 4), (168, 3, 1), (169, 5, 2), (172, 5, 4), (174, 5, 2), (181, 5, 4), (183, 4, 4), (186, 5, 4), (189, 5, 3), (194, 4, 4), (200, 2, 3), (204, 4, 3), (208, 4, 3), (210, 3, 2), (216, 1, 2), (226, 3, 4), (228, 5, 3), (229, 2, 2), (233, 4, 4), (235, 4, 2), (239, 4, 4), (250, 3, 4), (257, 5, 1), (365, 1, 1), (366, 3, 4), (367, 3, 3), (368, 1, 4), (371, 1, 1), (373, 3, 1), (374, 3, 4), (375, 3, 4), (378, 1, 4), (380, 3, 3), (381, 1, 3), (383, 3, 3), (386, 2, 3), (387, 3, 1), (390, 5, 4), (392, 2, 1), (395, 2, 4), (396, 5, 2), (398, 2, 2), (399, 3, 2), (401, 5, 1), (404, 2, 1), (405, 3, 4), (406, 1, 2), (408, 5, 2), (409, 2, 3), (412, 3, 2), (414, 3, 4), (415, 1, 4), (416, 1, 3), (419, 3, 1), (420, 3, 2), (425, 2, 4), (427, 3, 1), (430, 5, 4), (431, 3, 3), (432, 4, 1), (434, 5, 3), (437, 1, 4), (438, 1, 2), (440, 1, 2), (442, 1, 1), (443, 4, 3), (446, 4, 3), (447, 3, 1), (448, 2, 1), (449, 2, 1), (450, 1, 2), (451, 1, 2), (452, 1, 2), (455, 4, 1), (456, 1, 3)]"
6,"[(1, 4, 4), (7, 2, 4), (8, 4, 4), (9, 4, 3), (12, 4, 1), (13, 2, 3), (21, 3, 4), (22, 3, 2), (47, 3, 2), (50, 4, 4), (64, 4, 3), (71, 4, 3), (79, 3, 3), (89, 4, 4), (111, 2, 1), (127, 5, 3), (132, 5, 1), (137, 5, 1), (153, 4, 1), (165, 5, 4), (166, 4, 1), (168, 4, 3), (169, 4, 2), (170, 4, 4), (173, 5, 2), (174, 4, 2), (177, 4, 4), (178, 4, 1), (182, 4, 3), (185, 5, 4), (186, 4, 3), (191, 4, 3), (192, 4, 4), (194, 4, 1), (200, 3, 2), (202, 3, 2), (203, 3, 3), (216, 5, 3), (223, 4, 3), (237, 2, 2), (242, 4, 2), (246, 3, 3), (257, 2, 2), (259, 1, 4), (261, 3, 1), (268, 3, 4), (272, 4, 1), (274, 4, 1), (285, 3, 1), (293, 3, 3), (298, 3, 3), (302, 4, 3), (303, 3, 1), (306, 4, 1), (308, 3, 3), (309, 2, 3), (310, 2, 3), (317, 3, 3), (321, 3, 2), (340, 2, 4), (367, 2, 1), (405, 1, 1), (408, 4, 3), (410, 4, 3), (419, 4, 2), (425, 3, 4), (427, 4, 4), (435, 4, 1), (460, 2, 4), (461, 4, 3), (462, 5, 2), (464, 2, 1), (465, 1, 1), (468, 3, 4), (472, 1, 4), (473, 2, 4), (474, 5, 1), (482, 4, 1), (485, 5, 1), (489, 5, 3), (490, 5, 3), (491, 4, 3), (493, 5, 1), (494, 4, 3), (495, 4, 2), (496, 4, 2), (497, 4, 1), (501, 5, 3), (502, 4, 3), (503, 3, 1), (504, 3, 2), (505, 4, 2), (507, 4, 1), (510, 4, 1), (512, 4, 3), (514, 5, 3), (516, 4, 3), (519, 5, 4), (520, 4, 4), (522, 5, 2), (527, 4, 1), (529, 4, 3), (530, 4, 4), (531, 4, 1), (533, 4, 2), (535, 2, 3), (536, 4, 1), (537, 4, 2), (538, 2, 3), (539, 2, 4)]"
7,"[(4, 5, 4), (9, 5, 1), (11, 3, 2), (12, 5, 1), (23, 3, 1), (25, 3, 2), (27, 4, 3), (29, 3, 1), (31, 4, 2), (39, 5, 3), (47, 5, 3), (50, 5, 4), (51, 2, 4), (52, 4, 1), (56, 5, 1), (62, 3, 1), (64, 5, 4), (68, 4, 3), (69, 5, 1), (70, 1, 4), (71, 5, 1), (73, 3, 1), (77, 5, 2), (80, 4, 1), (86, 4, 2), (91, 3, 1), (96, 5, 3), (97, 5, 1), (98, 4, 3), (99, 5, 1), (100, 5, 3), (125, 4, 4), (132, 5, 4), (134, 4, 1), (135, 5, 1), (140, 5, 4), (141, 5, 2), (143, 3, 2), (144, 5, 1), (145, 1, 3), (152, 4, 3), (157, 5, 2), (164, 5, 1), (173, 5, 4), (175, 5, 1), (178, 4, 2), (179, 5, 2), (180, 5, 1), (186, 4, 3), (187, 4, 3), (192, 4, 2), (194, 5, 2), (197, 4, 1), (198, 3, 2), (199, 5, 4), (201, 2, 3), (202, 3, 2), (204, 5, 1), (211, 5, 4), (213, 3, 4), (214, 5, 4), (215, 4, 2), (216, 4, 2), (217, 4, 4), (219, 1, 4), (229, 3, 2), (230, 3, 1), (231, 3, 2), (234, 5, 2), (237, 5, 3), (238, 5, 1), (258, 4, 4), (265, 5, 1), (275, 4, 2), (286, 4, 1), (294, 1, 3), (309, 3, 2), (317, 4, 3), (318, 5, 1), (324, 1, 4), (341, 3, 3), (356, 4, 4), (357, 5, 1), (365, 4, 1), (367, 5, 1), (379, 4, 2), (380, 4, 4), (384, 3, 4), (386, 4, 1), (387, 3, 4), (391, 3, 3), (402, 5, 4), (403, 4, 2), (405, 3, 2), (415, 2, 4), (416, 5, 2), (417, 3, 4), (419, 3, 2), (421, 3, 2), (427, 5, 3), (429, 5, 4), (433, 5, 2), (434, 4, 3), (436, 5, 3), (440, 1, 4), (441, 2, 2), (443, 5, 2), (444, 5, 3), (446, 2, 2), (447, 5, 3), (449, 3, 1), (452, 5, 4), (463, 4, 2), (465, 4, 3), (470, 3, 2), (474, 5, 4), (487, 3, 1), (488, 4, 4), (499, 4, 4), (502, 5, 1), (503, 4, 1), (506, 5, 4), (507, 5, 3), (509, 5, 4), (510, 5, 1), (513, 4, 2), (521, 5, 4), (523, 4, 3), (527, 5, 4), (529, 2, 4), (540, 3, 4), (544, 3, 3), (545, 2, 3), (546, 4, 2), (547, 3, 4), (549, 4, 1), (551, 1, 2), (552, 4, 1), (556, 3, 1), (557, 4, 3), (558, 4, 1), (561, 4, 2), (565, 4, 2), (566, 4, 2), (568, 5, 2), (569, 4, 1), (571, 3, 2), (572, 3, 4), (573, 5, 3), (574, 5, 4), (575, 3, 3), (577, 2, 3), (578, 3, 2), (583, 2, 1), (584, 4, 3), (585, 4, 4), (586, 3, 4), (588, 4, 4), (590, 2, 2), (591, 3, 3), (592, 5, 2), (593, 5, 1), (594, 3, 3), (595, 2, 4), (596, 5, 1), (597, 3, 1), (598, 3, 3), (600, 4, 4), (601, 5, 4), (602, 3, 1), (603, 4, 1), (605, 4, 3), (606, 3, 1), (607, 3, 3), (609, 3, 1), (610, 5, 4), (611, 3, 2), (612, 5, 2), (613, 4, 4), (615, 4, 4), (616, 4, 4), (617, 5, 1), (620, 4, 1), (625, 3, 3), (628, 3, 1), (629, 3, 2), (631, 4, 4), (632, 5, 2), (634, 5, 2), (635, 3, 1), (638, 4, 2), (639, 5, 3), (640, 3, 4), (641, 5, 2), (646, 5, 2), (649, 5, 4), (651, 5, 1), (652, 3, 3), (655, 5, 1), (656, 3, 3), (660, 5, 2), (663, 5, 3), (664, 3, 4), (665, 4, 1), (666, 4, 2), (668, 4, 3), (670, 5, 4), (671, 5, 3), (672, 1, 3), (677, 3, 2), (678, 3, 3), (679, 5, 4), (682, 2, 2)]"
8,"[(11, 3, 1), (55, 5, 4), (82, 5, 3), (96, 3, 4), (174, 5, 3), (177, 4, 3), (181, 4, 1), (187, 4, 1), (195, 5, 4), (222, 5, 3), (227, 4, 1), (228, 5, 2), (229, 5, 1), (233, 4, 2), (241, 4, 1), (243, 2, 3), (259, 1, 1), (260, 3, 1), (273, 3, 3), (336, 3, 4), (341, 2, 1), (358, 2, 3), (403, 4, 1), (431, 2, 4), (435, 5, 1), (510, 4, 2), (518, 4, 2), (566, 3, 3), (684, 4, 3), (688, 1, 1)]"
9,"[(7, 4, 3), (50, 5, 3), (201, 5, 4), (242, 4, 3), (276, 4, 1), (294, 4, 2), (371, 5, 1), (385, 5, 3), (402, 4, 1), (483, 5, 4), (615, 4, 3), (690, 1, 1)]"
10,"[(9, 4, 4), (11, 4, 2), (12, 5, 2), (23, 5, 3), (32, 4, 3), (33, 4, 1), (40, 4, 3), (50, 5, 1), (59, 4, 3), (60, 3, 1), (69, 4, 2), (70, 4, 1), (82, 4, 2), (85, 4, 1), (93, 4, 1), (116, 4, 4), (129, 4, 2), (134, 5, 3), (137, 4, 1), (153, 4, 3), (157, 5, 1), (161, 4, 4), (162, 4, 3), (170, 4, 3), (174, 4, 1), (178, 5, 4), (179, 5, 1), (180, 5, 1), (182, 5, 3), (185, 5, 1), (192, 4, 3), (197, 5, 2), (198, 3, 3), (205, 5, 1), (211, 5, 4), (216, 4, 3), (221, 4, 3), (230, 4, 4), (238, 4, 2), (245, 4, 2), (273, 4, 2), (274, 4, 2), (276, 4, 3), (286, 4, 3), (302, 4, 2), (319, 3, 3), (333, 4, 2), (334, 4, 4), (357, 5, 3), (404, 4, 2), (414, 4, 3), (430, 3, 4), (432, 4, 2), (462, 3, 1), (467, 4, 3), (470, 4, 2), (478, 5, 1), (479, 5, 3), (480, 5, 2), (482, 4, 3), (484, 5, 2), (499, 4, 3), (502, 4, 4), (510, 5, 1), (511, 4, 4), (513, 4, 1), (518, 4, 3), (525, 5, 3), (527, 4, 2), (529, 3, 2), (530, 4, 3), (531, 5, 2), (582, 4, 2), (589, 5, 1), (602, 5, 4), (604, 4, 4), (606, 5, 4), (610, 4, 4), (617, 5, 2), (629, 4, 1), (654, 5, 1), (663, 3, 2), (664, 4, 4), (686, 4, 1), (692, 4, 2), (693, 4, 4), (694, 5, 4), (697, 3, 3), (699, 4, 3), (700, 4, 3), (701, 4, 1), (707, 5, 4), (708, 4, 4), (709, 4, 1)]"
